iter	Passed	Remaining
399	30339	7584
400	30412	7508
401	30485	7431
402	30562	7356
403	30640	7280
404	30708	7203
405	30789	7128
406	30861	7051
407	30942	6977
408	31016	6901
409	31085	6823
410	31161	6747
411	31239	6672
412	31313	6596
413	31392	6521
414	31461	6443
415	31538	6368
416	31613	6292
417	31689	6216
418	31758	6139
419	31834	6063
420	31910	5988
421	31989	5912
422	32062	5836
423	32141	5761
424	32215	5685
425	32286	5608
426	32363	5532
427	32441	5457
428	32510	5380
429	32576	5303
430	32652	5227
431	32734	5152
432	32806	5076
433	32873	4999
434	32953	4924
435	33029	4848
436	33105	4772
437	33181	4696
438	33252	4620
439	33321	4543
440	33391	4467
441	33462	4391
442	33531	4314
443	33606	4238
444	33671	4161
445	33754	4086
446	33822	4010
447	33898	3934
448	33975	3859
449	34048	3783
450	34125	3707
451	34200	3631
452	34273	3556
453	34350	3480
454	34431	3405
455	34510	3329
456	34584	3254
457	34660	3178
458	34739	3103
459	34806	3026
460	34888	2951
461	34959	2875
462	35039	2800
463	35114	2724
464	35187	2648
465	35256	2572
466	35324	2496
467	35407	2421
468	35485	2345
469	35566	2270
470	35641	2194
471	35710	2118
472	35777	2042
473	35856	1966
474	35934	1891
475	36010	1815
476	36085	1739
477	36158	1664
478	36230	1588
479	36306	1512
480	36380	1437
481	36459	1361
482	36538	1286
483	36612	1210
484	36690	1134
485	36773	1059
486	36854	983
487	36927	908
488	37005	832
489	37086	756
490	37157	681
491	37227	605
492	37304	529
493	37368	453
494	37435	378
495	37510	302
496	37589	226
497	37672	151
498	37746	75
499	37817	0
