iter	MultiClass
0	0.9802287088
1	0.9011278945
2	0.8437577935
3	0.795130555
4	0.7568602534
5	0.7243115992
6	0.6970507725
7	0.6737632203
8	0.6539727882
9	0.6356382528
10	0.6176125912
11	0.6015838855
12	0.5885684141
13	0.5734840992
14	0.5588060462
15	0.5490020769
16	0.5376461945
17	0.5261637448
18	0.5156787443
19	0.5049147972
20	0.4950671841
21	0.4860326873
22	0.4758550019
23	0.4685549431
24	0.4615626047
25	0.4530650832
26	0.4458561778
27	0.4384046748
28	0.4318411685
29	0.4252769452
30	0.4193281627
31	0.4134646727
32	0.4077758516
33	0.4018095804
34	0.3963367964
35	0.3904042244
36	0.3851770931
37	0.3805470097
38	0.3761237358
39	0.371647497
40	0.3656795735
41	0.3607123413
42	0.3558362001
43	0.3514604357
44	0.3473378992
45	0.3425698389
46	0.337968841
47	0.3331812345
48	0.3284593743
49	0.3236722354
50	0.3201839377
51	0.3159426587
52	0.311750105
53	0.3080431827
54	0.3045779539
55	0.3005160824
56	0.2978635022
57	0.2944813838
58	0.291290519
59	0.2884455005
60	0.2853743446
61	0.2824352425
62	0.2794567362
63	0.2771700163
64	0.2746433798
65	0.2716445791
66	0.2681296587
67	0.2665663045
68	0.2636678224
69	0.2601675382
70	0.2575029248
71	0.2547921736
72	0.2531995468
73	0.2516802885
74	0.2482888023
75	0.2462001319
76	0.2435795053
77	0.2416783788
78	0.2395697882
79	0.2377956497
80	0.2355759855
81	0.2327888263
82	0.2303307263
83	0.228122425
84	0.2260149099
85	0.2242451514
86	0.2222750053
87	0.2200572582
88	0.2192827512
89	0.2175249637
90	0.2155287092
91	0.213237391
92	0.2116841217
93	0.2100612093
94	0.2088262907
95	0.2073520947
96	0.2055829909
97	0.2033910405
98	0.2016884156
99	0.2001905273
100	0.1982541428
101	0.1960740386
102	0.1949069394
103	0.1935556633
104	0.1920327264
105	0.1906087208
106	0.1893155377
107	0.1879167521
108	0.1868621606
109	0.1850278716
110	0.1840993017
111	0.1824586356
112	0.1813230536
113	0.1802547455
114	0.178863956
115	0.1777491204
116	0.1764345518
117	0.1751908577
118	0.1736867345
119	0.1721228659
120	0.1709125906
121	0.1697297173
122	0.1685452542
123	0.1670688916
124	0.1662020934
125	0.164924513
126	0.1633478006
127	0.1618417135
128	0.160226579
129	0.1588331397
130	0.1574810062
131	0.1562127468
132	0.1555101898
133	0.154180003
134	0.1529642721
135	0.1518895421
136	0.1505590435
137	0.1496135929
138	0.1487669176
139	0.1476563529
140	0.1465300764
141	0.1455137356
142	0.144407847
143	0.143392722
144	0.1428551076
145	0.1416343422
146	0.1408926148
147	0.1397932728
148	0.1392389958
149	0.1379635975
150	0.1370383166
151	0.1358588569
152	0.134945843
153	0.1337235344
